Data,Brasil,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
janeiro 2000,46,24,28,39.799999999999997,32.5,39.100000000000001,32.5,20.699999999999999,29.100000000000001,47.600000000000001,37.5,38.700000000000003,34.899999999999999,46.299999999999997,36.799999999999997,44.600000000000001,44.799999999999997,45.200000000000003,45.200000000000003,50,45.399999999999999,47.899999999999999,47.5,57.600000000000001,35.200000000000003,43.899999999999999,42.899999999999999,53.899999999999999
fevereiro 2000,46.5,25.300000000000001,27.800000000000001,42.399999999999999,33.5,38,32.200000000000003,19.199999999999999,28,44.299999999999997,35.299999999999997,37.700000000000003,32.700000000000003,45,35.700000000000003,41.600000000000001,44.700000000000003,45.600000000000001,45.100000000000001,50.399999999999999,46.5,48.899999999999999,47.799999999999997,57.100000000000001,35.600000000000001,48,42,54.899999999999999
março 2000,48.5,25.5,29.899999999999999,42.600000000000001,38.299999999999997,38.899999999999999,32.299999999999997,20.100000000000001,27.100000000000001,36.700000000000003,34.299999999999997,38.399999999999999,30.699999999999999,44.299999999999997,35.600000000000001,43,45.399999999999999,46.899999999999999,45.600000000000001,50.700000000000003,49.100000000000001,51.799999999999997,48.600000000000001,62.100000000000001,39.200000000000003,50.5,46.399999999999999,57.100000000000001
abril 2000,48.5,26.100000000000001,32.299999999999997,41.600000000000001,29.800000000000001,41.100000000000001,34.799999999999997,20.899999999999999,26.399999999999999,34.799999999999997,35.5,37.299999999999997,31.800000000000001,44.200000000000003,36,44.5,45.399999999999999,47.799999999999997,44.5,54.5,48,52.899999999999999,48.5,62.600000000000001,40.5,49.5,47,57.899999999999999
maio 2000,50.5,26,30.399999999999999,47.200000000000003,33.899999999999999,43.299999999999997,38,22.399999999999999,28.899999999999999,39,38.700000000000003,39.100000000000001,35,47.200000000000003,39.299999999999997,45.899999999999999,46.600000000000001,48.5,45.700000000000003,56.899999999999999,50.200000000000003,53,49.100000000000001,64.900000000000006,41.600000000000001,53.200000000000003,50,59.600000000000001
junho 2000,48.100000000000001,25.199999999999999,33.5,46.200000000000003,33.399999999999999,41.700000000000003,38.899999999999999,18.600000000000001,28.5,37.700000000000003,37,39.100000000000001,35.700000000000003,47.200000000000003,39.799999999999997,44.899999999999999,48.200000000000003,47.399999999999999,45.700000000000003,54.899999999999999,46.299999999999997,51,47.299999999999997,60.899999999999999,40.399999999999999,54.5,48.100000000000001,58.700000000000003
julho 2000,49.799999999999997,26.5,34.200000000000003,47.299999999999997,33.200000000000003,43.799999999999997,38.100000000000001,22.800000000000001,30.800000000000001,39,40,38.899999999999999,35.600000000000001,45.100000000000001,37.600000000000001,44.600000000000001,46.899999999999999,48.799999999999997,47.100000000000001,58.399999999999999,48.899999999999999,52.200000000000003,48.200000000000003,62.100000000000001,40.799999999999997,53.299999999999997,48.5,59.899999999999999
agosto 2000,49.700000000000003,26.399999999999999,32.200000000000003,47.899999999999999,33.100000000000001,45.799999999999997,40,22.600000000000001,29.399999999999999,37.100000000000001,40.899999999999999,38.899999999999999,36.100000000000001,47.299999999999997,38.399999999999999,44.700000000000003,47.700000000000003,48.100000000000001,46.299999999999997,58.299999999999997,48.899999999999999,51.799999999999997,47.200000000000003,60.200000000000003,38.700000000000003,50.700000000000003,47.399999999999999,59.799999999999997
setembro 2000,48.399999999999999,25.5,30.699999999999999,45.700000000000003,34.100000000000001,43.600000000000001,38.299999999999997,22.100000000000001,27.899999999999999,36.399999999999999,37.600000000000001,39.100000000000001,34.799999999999997,45,37.799999999999997,45,46.299999999999997,47.100000000000001,45.200000000000003,55.600000000000001,48.200000000000003,50,47.200000000000003,57.899999999999999,37.299999999999997,49.700000000000003,46.700000000000003,58.299999999999997
outubro 2000,49.399999999999999,25.199999999999999,31.100000000000001,47.399999999999999,33.799999999999997,46.5,38.600000000000001,24.300000000000001,28.199999999999999,36.700000000000003,38.899999999999999,37.899999999999999,35.5,44.600000000000001,38.200000000000003,45.100000000000001,47.899999999999999,48,45.899999999999999,56,49.399999999999999,50.799999999999997,48.600000000000001,59.399999999999999,37.600000000000001,49,46.299999999999997,58.299999999999997
novembro 2000,50.299999999999997,27,29.5,48.899999999999999,36.399999999999999,47.100000000000001,41,20.399999999999999,29,37.200000000000003,40,40.200000000000003,38.200000000000003,49.299999999999997,40.200000000000003,46.700000000000003,47.100000000000001,48.600000000000001,45.700000000000003,57.799999999999997,49.700000000000003,52.100000000000001,49.799999999999997,61.5,35.600000000000001,48.600000000000001,47,59.399999999999999
dezembro 2000,69.299999999999997,42.799999999999997,40.600000000000001,77,44.899999999999999,77.599999999999994,59.299999999999997,30.399999999999999,41.899999999999999,56,56.799999999999997,55.299999999999997,53.799999999999997,68.099999999999994,58.899999999999999,64.900000000000006,65.200000000000003,65.5,65.099999999999994,83.400000000000006,67.700000000000003,69.5,70.299999999999997,87.700000000000003,47.399999999999999,57.399999999999999,60,79.099999999999994
janeiro 2001,46.899999999999999,24.100000000000001,30.5,44.5,34,41.600000000000001,34.799999999999997,21.5,27.199999999999999,50.600000000000001,38.799999999999997,38,35.600000000000001,46,38.100000000000001,45.399999999999999,46.700000000000003,45,48.299999999999997,54,45.700000000000003,48.600000000000001,49.399999999999999,57.700000000000003,34.200000000000003,44.100000000000001,44.299999999999997,54.299999999999997
